"","status","county","incident_date","prior_status","narrative","year"
"11","fatality","Philadelphia","July 25, 2011"," The countyagency was not involved with the family.","6. A nine-month old male child died on July 25, 2011 due to ingestion of drugs. ThePhiladelphia Department of Human Services substantiated the report in August of 2011and named a maternal cousin of the child and her paramour as the perpetrators. The childhad been staying with these two individuals due to housing concerns at the mother’shome which caused the child to experience respiratory complications. The child hadpreexisting respiratory issues which prompted this arrangement to be made. The countyagency was not involved with the family. The cousin contacted emergency respondersbecause she had found the child having difficulty breathing. Upon medical examinationat the hospital, the child was found to have bruising to his body, possible burn marks tolegs and buttocks which were later determined during the autopsy to not be burn marks.The child also had intravenous marks to his hands. The autopsy found cocaine andopiates in the child’s system. The cousin and her paramour are known heroin users.Although no disclosure has been made, the investigation by the county agency4 3rd Quarter of 2011July through Septemberdetermined these two individuals were responsible for the child and likely caused thechild’s death. There is an older sibling who was living with the maternal grandmotherduring the investigation as a precaution due to the uncertainty of the nature of the child’sdeath. This sibling has since returned to the mother. The county agency is providing in-home services to the mother and the sibling including grief services and parenting skillsas there are concerns about the sibling missing medical appointments. The cousin whowas named as a perpetrator in this case has children who are now living with their fatherand paternal grandmother due to the investigation. There is a criminal investigationpending and no charges have been filed.","2011"
"12","fatality","Philadelphia","August 31, 2011"," The mother has a long history ofbehavioral health issues and tried to overdose on a few occasions in the past.","7-8. A twelve-year old female child and her eight-year old male sibling died on August 31, 2011 due to being stabbed. The Philadelphia Department of Human Servicessubstantiated both reports in September of 2011 and named the mother as the perpetrator.The children lived with their mother, maternal grandparents and a maternal aunt. Thematernal aunt and maternal grandmother found the children stabbed to death in theirbedroom. The mother was also in the bedroom. The mother had attempted to commitsuicide, but was conscious when she and the children were discovered. The motherconfessed to stabbing the children. Neither the maternal aunt nor the maternalgrandmother were home when the incident occurred. However, the maternal grandfatherwas at home, but did not hear the incident occurring. The mother has a long history ofbehavioral health issues and tried to overdose on a few occasions in the past. The most recent incident of attempted overdose occurred in 2007. The mother was receiving out-patient services for her behavioral health issues and her last appointment took place theday before the incident occurred. The mother moved to the United States in 2006 and the children moved here in 2010. This family was not known to the county agency prior tothe incident. There are no additional siblings in the family. The mother has been chargedwith homicide and is currently incarcerated.","2011"
"13","fatality","Philadelphia","September 5, 2011"," Thisfamily was not known to the county agency prior to the incident.","9. A nine-month old male child died on September 5, 2011 due to drowning as a result oflack of supervision. The Philadelphia Department of Human Services substantiated thereport in September of 2011 and named the mother as the perpetrator. The mother wasbathing the child and left the child unattended. Upon returning, she found the childunconscious and submerged under water. The mother took the child to a staff person,who contacted emergency responders. The mother was living in a transitional housingprogram for homeless women and their children when the incident occurred. The childhad a twin sibling and an older sibling who are now living with their maternalgrandmother. The county agency has opened a case regarding those children and isproviding protective services. The mother is currently residing with a paternal aunt. Thisfamily was not known to the county agency prior to the incident. There is a criminalinvestigation pending.5 3rd Quarter of 2011July through September","2011"
"14","near fatality","Philadelphia","August 24, 2011"," Neither parent was able to provide a credible history ofhow the injuries were sustained.","5. A four-month old male child nearly died on August 24, 2011 due to head injuries.The Philadelphia Department of Human Services substantiated the report in September of2011 and named the mother and father as the perpetrators of physical abuse. The childwas diagnosed with a subdural hematoma with chronic and acute bleeding. Thephysician stated the injuries were non-accidental in nature. Both parents were theprimary caregivers for the child. Neither parent was able to provide a credible history ofhow the injuries were sustained. The child is currently residing in a kinship home withhis adult paternal cousin. There were no other children in the home. The family was notpreviously known to the county agency. No criminal charges have been filed.7 3rd Quarter of 2011July through September","2011"
"15","near fatality","Philadelphia","September 17, 2011",NA,"6. A five-month old female child nearly died on September 17, 2011 due to headinjuries. The Philadelphia Department of Human Services substantiated the report inOctober of 2011 and named the child’s father as the perpetrator of physical abuse. Thechild was diagnosed with a subdural hematoma and a skull fracture, resulting fromabusive head trauma. The physician stated the varied ages of the injuries were consistentwith the time the child was in the father’s care in Philadelphia as well as when the childwas in her mother’s care in New Jersey. The father was unable to provide a historyconsistent with the injuries. The Division of Youth and Family Services (DYFS) in NewJersey is currently investigating the mother’s involvement with the child’s injuries. Thefamily was not previously known to the county agency nor to child welfare officials inNew Jersey. The child is currently in a foster home in New Jersey through DYFS. Nocriminal charges have been filed at this time.","2011"
"16","near fatality","Philadelphia","September 23, 2011"," The child’s motherwas unable to provide a history of trauma that was consistent with the injuries.","7. A three-year old female child nearly died on September 23, 2011 as the result of bluntforce trauma. The Philadelphia Department of Human services substantiated the report inOctober of 2011 and named the mother’s paramour as the perpetrator of physical abuseand the mother as the perpetrator by omission for failing to protect the child. The childhad difficulty breathing, liver and spleen lacerations, and blood in the abdomen.Additionally, the child had bruising to her back and belly, a pulmonary contusion, amissing front tooth, and a small laceration inside her vaginal area. The child’s motherwas unable to provide a history of trauma that was consistent with the injuries. Familymembers reported that the child began having bruises when the mother’s paramourmoved into the home. The paramour was unable to provide a consistent history for howthe bruises occurred, yet the mother continued to leave the child in the paramour’s careeven after she continued to have unexplained bruises. There were no other childrenresiding in the home. The county agency was not previously involved with the family.The child has been discharged from the hospital, and she is residing in a foster home.There have been no criminal charges filed for this incident at this time.Westmoreland County","2011"
"17","fatality","Philadelphia","March 18, 2012"," The father does have an extensive criminal history and isa multiple state Megan’s Law Offender.","6.) A two-month-old child died on March 18, 2012 due to physical injuries. The PhiladelphiaDepartment of Human Services (DHS) substantiated the case in April 2012, naming the child’sfather as the perpetrator of physical abuse. On the date of incident, emergency responderswere called to the home by a relative of the child. Police arrived at the home and found thefather in a bedroom. He was holding a knife to his neck and threatening to kill himself. Thepolice found a note written by the father apologizing for killing the child. The father was takeninto custody and admitted to police that he had been drinking alcohol that day and hadattempted to put the child to sleep. The father stated that he punched the child in the head.He also stated that he held the child very tightly to his chest so that the child was unable to2012 1st Quarter FatalitiesJanuary 1 – March 31 2012 4breathe. The medical examiner determined that the manner of the child’s death was homicidedue to suffocation. The father has been arrested and is charged with murder, aggravatedassault, endangering the welfare of children, simple assault, and recklessly endangeringanother person. He is currently incarcerated at a Philadelphia County jail. The mother statedthat she will be receiving grief counseling services. DHS has since closed the family’s case asthere are no other children in the home and no need for services. The family did not have priorinvolvement with the county agency. The father does have an extensive criminal history and isa multiple state Megan’s Law Offender.","2012"
"18","fatality","Philadelphia","March 29, 2012"," The county agency was previously involved with this child from 2007-2009 when thechild was placed into the care of distant relatives due to concerns of neglect and drug abuse bythe parents.","7.) A six-year-old male child died on March 29, 2012 from physical abuse and neglect.Philadelphia Department of Human Services (DHS) substantiated the case in April of 2012,naming the child’s mother and father as the perpetrators. The medical examiner determinedthat the child died from blunt force trauma to the head and malnutrition. The child also hadbruises covering his body. The child was approximately the size of a three-year-old due toemaciation. The child was in the sole care of his parents and he was not attending school. Thechild had a three-year-old sister, who was determined to be healthy. The sister was placed inkinship care with a maternal uncle at the time of the child’s death, and presently remains withthe uncle. The county agency was previously involved with this child from 2007-2009 when thechild was placed into the care of distant relatives due to concerns of neglect and drug abuse bythe parents. The child was returned to the parents care per court order in 2008 and DHSmonitored the family’s case for a year, closing the case in 2009 due to compliance by theparents. DHS was also previously involved with seven older siblings, who were removed fromthe parents and adopted. Two of the older siblings were involved with DHS at the time of thechild’s death and were participating in visitations with the child; however, the county did nothave an open case on the victim child at the time of his death. DHS had no previousinvolvement with the child’s younger sister. The parents are both currently incarcerated,awaiting trial on charges of aggravated assault, conspiracy, endangering the welfare of children,simple assault, recklessly endangering another person, and conspiracy to commit murder. Themother is also charged with murder.Near FatalitiesBeaver County","2012"
"19","fatality","Philadelphia","May 11, 2012",NA,"3. An eleven-month old child died on May 11, 2012 due to ingesting methadone.Philadelphia Department of Human Services substantiated the report in June of 2012and named the father as the perpetrator. The father found the child unresponsive in hiscrib and the mother contacted emergency responders. The child was pronounceddeceased at the hospital. A preliminary report from the medical examiner’s office wasreleased the following day stating that the child tested positive for methadone. Bothparents are recovering heroin addicts and receive treatment through methadone clinics.The father admitted during the investigation that he had put methadone in the child’sbottle. There were trace amounts of methadone found in the child’s bottle. There hadbeen a prior referral to the county agency when the child was born regarding motherbeing a heroin addict. No services were implemented at that time. There is an oldersibling who is currently in formal kinship care with a paternal grandmother due to theincident. There is an ongoing criminal investigation; however, no criminal charges havebeen filed.","2012"
"20","fatality","Philadelphia","May 24, 2012",NA,"4-5. Twin siblings, one female and one male, one year of age, died on May 24, 2012 due to drowning and suffocation. Philadelphia Department of HumanServices substantiated both reports in June of 2012 and named the mother as theperpetrator. The father had returned home from work and found the mother and the twochildren unresponsive. The father contacted emergency responders. The two childrenwere determined by the emergency responders to be deceased. However, the motherwas still alive. The mother had tried to commit suicide by slitting her wrists and alsotook a large amount of unknown pills. It was determined that the mother had also giventhe unknown pills to both children. The mother then drowned the female child in thebathtub and suffocated the male child with a pillow. There is an older sibling of thechildren who was also at home when these incidents occurred. This sibling was givenpills in her juice; however, she refused to drink her juice. This sibling was examined atthe hospital and was found to be unharmed. This sibling continues to reside with herfather and services have been offered by the county agency. The mother believed that2012 2nd Quarter FatalitiesApril 1 – June 30 2012 2the father had been having a relationship with her adult daughter by a prior relationshipand this is her reasoning as to why she killed the children. The mother has beencharged with homicide and other charges related to attempting to poisoning the sibling.The mother is currently incarcerated.Schuylkill County","2012"
"21","near fatality","Philadelphia","April 7, 2012",NA,"6. A five year-old male child nearly died on April 7, 2012 due to injuries sustained by agunshot. The Philadelphia Department of Human Services substantiated the case inMay 2012 listing mother as the perpetrator for lack of supervision. The child found themother’s gun under her pillow. The child shot himself in the chest while the mother wasin the downstairs area of the home. The mother stated that she thought the child wasalso downstairs at the time of the incident. The child was hospitalized after the incidentand required numerous surgeries to repair damage to his internal organs. The child’sstomach required repair and the child had to have a kidney removed. Upon discharge,the child was returned to his mother’s care. The mother asked the police to keep thegun that was used in the incident as she no longer wanted it back. This was the onlygun in the home. The family was accepted for services and the mother is working withan in-home team on positive parenting. The police completed their investigation anddetermined that charges would not be filed in the case.","2012"
"22","near fatality","Philadelphia","April 6, 2012",NA,"7. A three year-old female child nearly died on April 6, 2012. The PhiladelphiaDepartment of Human Services (DHS) substantiated the case in April 2012 listing themother as a perpetrator for physical abuse. The mother brought the child to the hospital on April 6, 2012. The mother told the hospital that the child fell down 4-5 steps whilewalking the dog down the steps. The victim child sustained a severe spinal injury thathas resulted in paralysis of her lower extremities. Additionally, the child had bruises toher face, buttocks, legs, and back. It was felt that the explanation provided by themother did not match the extent of the injuries. After the investigation started, thechild’s 4 year-old sister was also brought into the hospital for examination and wasdetermined to have bruises to both of her eyes, an ear, and her shoulder. DHS alsosubstantiated this case listing the mother as the perpetrator. The sister was placed intoa medical foster home. It is hoped that the victim child, who is currently at arehabilitation hospital, will be able to join her sister in this foster home. The mother hadsupervised visitation with both of the children, but has since been arrested andincarcerated on charges of aggravated assault, endangering the welfare of children,simple assault, and recklessly endangering another person related to this incident.","2012"
"23","near fatality","Philadelphia","April 17, 2012",NA,"8. A three month-old male child nearly died on April 17, 2012 due to injuries sustainedfrom physical abuse. The Philadelphia Department of Human Services (DHS)substantiated the case in June 2012 listing the mother, father, and maternalgrandmother as perpetrators. The mother and father brought the child to the hospital onApril 17, 2012 due to the child not feeding, being limp, and screaming in pain. Uponexam, it was determined that the child had sustained an acute subdural hemorrhage,old and new rib fractures, posterior parietal and occipital lobe infarcts, and multiple,multi-layer retinal hemorrhages. DHS determined the child was in the care of each ofthe perpetrators during the time frame that the injuries could have occurred. The policeare continuing their investigation at this time. There are no other siblings in this home.The child was discharged from the hospital to a rehabilitation facility. He was thendischarged from the rehabilitation facility and placed into a medical foster home. Hewas initially receiving in-home nursing services but those have been discontinued dueto the child’s progress. The court has ordered that both parents are allowed supervisedvisits with the child.","2012"
"24","near fatality","Philadelphia","May 28, 2012"," The child had a medical history ofbeing born premature and having heart issues.","9. A four month-old male child nearly died on May 28, 2012 due to medical neglect.The Philadelphia Department of Human Services (DHS) substantiated the case inJune 2012 listing the mother, maternal grandmother, and maternal aunt as perpetrators.The child and the mother resided in an efficiency apartment with the maternalgrandmother, the maternal aunt, and the maternal aunt’s five year-old child. The childwas brought to the hospital by his mother on May 28, 2012 due to constipation. Thechild was seizing upon arrival to the hospital. Upon exam it was determined that thechild had severely low blood pressure and sodium levels. The child was extremelyunderweight and had wasting of his extremities. The child had a medical history ofbeing born premature and having heart issues. The child had been in the hospital for atleast a week after his birth. The mother was instructed to have the child seen by acardiologist but this never occurred. Once at the hospital the child was diagnosed asfailure to thrive. The maternal grandmother and the maternal aunt were substantiatedas perpetrators because they were living in the home with the child, observed that thechild was not doing well prior to his hospitalization, and took no steps to help the childby calling 911 or taking the child to the hospital. The victim child has been releasedfrom the hospital and is currently in a foster family home. A referral has been made forearly intervention, but as of the writing of this summary services have not yet beenprovided. The mother has supervised visits with the child at DHS. The goal for thischild is to be reunified with his mother. While there was no current DHS involvementwith the family at the time of the incident, the family had been previously involved withDHS. The mother has four other children who have either been adopted or are livingwith relatives. The mother was substantiated in 2001 by DHS for physical abuse of oneof these older children who was four months old at the time. This child had sustained achip fracture of his left tibia. The aunt has voluntarily placed her own child into the careof his biological father until she is able to find appropriate housing for herself and herchild. The police have concluded their investigation and will not be filing chargesrelated to this incident.2012 2nd Quarter FatalitiesApril 1 – June 30 2012 8York County","2012"
"25","fatality","Philadelphia","June 30, 2012",NA,"5. A seven-year old male child died on June 30, 2012 due to drowning. PhiladelphiaDepartment of Human Services (DHS) substantiated the report in Aug. 2012 for lack ofsupervision, naming the daycare owner and a daycare worker as perpetrators. Thechild and twenty other children were taken to a residential pool to go swimming. Theowner of the home was present, but did not interact with the children. Although therewere originally four staff members present, the daycare owner and one of the workersleft the residence to go to a casino. The children who were interviewed during theinvestigation stated that there were approximately fifteen children in the pool with onestaff member supervising. The other staff member stayed indoors with the youngerchildren. The daycare workers stated that the child had become upset and left the poolto go sit on the porch; however, the children interviewed during the investigation statedthat they last saw the child going down the slide into the deep end of the pool. Thechildren reported telling the staff member that they thought the child was at the bottomof the pool. The child was discovered missing at 3:00 p.m. The staff called the ownerand they returned to the residence and began looking for the child. There areconflicting reports about whether staff went into the pool to look for the child. The childwas found after midnight, at the bottom of the pool, which was described as filthy. Themother reported that she never signed a permission slip for the child to go swimming.During the investigation, it was found that the daycare owner opened this daycare usinga false identity. Both the daycare owner and the other staff were substantiated asperpetrators on this case had criminal offenses that would prohibit them from beinglicensed to work with children. The daycare owner had two separate daycare programs,both of which are now closed. The case has been assigned to the Philadelphia PoliceDepartment’s Homicide Unit and criminal charges are pending.Near FatalitiesAllegheny County","2012"
"26","near fatality","Philadelphia","July 24, 2012"," The family was not known to the countyagency prior to this case.","8. A four-year old male child nearly died on July 24, 2012 due to physical abuse.Philadelphia Department of Human Services (DHS) substantiated the report, namingthe mother and the mother’s paramour as perpetrators. The child was taken to thehospital for stomach pain, and it was determined that the child had a liver laceration thatmay have been caused by trauma. The child was interviewed and reported that themother’s paramour kicked him in the stomach and his mother held her hand over hismouth. The mother and her paramour were both arrested and charged with aggravatedassault, conspiracy aggravated assault, endangering the welfare of children, simpleassault, and recklessly endangering another person. The mother and her paramour areco-defendants in their case and their preliminary hearing is scheduled for the end of Dec. 2012. The child has three siblings; two were living with relatives at the time of theincident. The victim and his two older siblings have a stay away order against themother and do not have contact with her at this time. The victim child was initiallyplaced into foster care, but has since been reunified with his biological father. Thefather will be receiving foster care aftercare services for the next year. The child isattending trauma focused therapy. The nine-month old sibling is currently residing withthe paternal great-aunt with a plan for reunification with the mother. Mother is receivingparenting and anger management services. The mother currently has supervised visitswith the nine-month old child. There is currently a restraining order that restricts contactbetween the nine-month old and his father. The family was not known to the countyagency prior to this case.","2012"
"27","near fatality","Philadelphia","Aug. 6, 2012"," This family has been involved with DHS in thepast.","9. A two-year old male child nearly died on Aug. 6, 2012 due to physical injuries.Philadelphia Department of Human Services (DHS) substantiated the mother and her paramour as perpetrators of physical abuse in Aug. 2012. The mother reported that thevictim child had a stomach ache and had thrown up what he ate that day and the daybefore. The mother said that the child hit his head on the coffee table the day before.The child was brought to the hospital via ambulance after losing consciousness. It wasdiscovered that child had subdural hematoma, retinal hemorrhaging, internal bleeding,and a rib fracture. The child required a craniotomy. The child’s injuries weredetermined to be caused by physical abuse. The mother and her paramour have beenarrested and both have been charged with aggravated assault, conspiracy-aggravatedassault, endangering the welfare of children, simple assault, and recklessly endangeringanother person. Both the mother and her paramour are currently incarcerated. Thechild has three sisters, ages 6, 4, and 11 months. The two oldest children are residingwith their biological fathers, respectively. The youngest child is currently residing withher maternal grandmother. The siblings were evaluated at the hospital and no concernswere identified. The victim child was placed in a medical foster home pending furtherassessment of his paternal grandfather as a kinship resource. The child lived with hisbiological father and two siblings for past 2 years, but moved in with the motherbecause the father could not afford daycare. At the time of the incident, the child hadnot seen the father for several months. This family has been involved with DHS in thepast. In June, 2007, the family was referred due to concerns of lack of supervision andnot having enough food. This report was closed at intake. In June, 2008, a reportmade on a sister due to burns. This report was substantiated and the family was accepted for services until Feb. 2009. In April 2011, the mother called DHS andrequested services as she was behind in paying her rent, wanted assistance in filing forchild support. A referral was made to community based prevention services.","2012"
"28","near fatality","Philadelphia","Sept. 4, 2012"," DHS was involved in Dec.","10. An eleven-month old female child nearly died on Sept. 4, 2012 as a result ofphysical injuries. Philadelphia Department of Human Services (DHS) substantiated the father as the perpetrator of abuse in Oct. 2012. The parents stated that they called theirinsurance company on September 2, 2012 because the child “was not herself.” Theparents stated that they were told that the child was “in a sleep walking state,” and thatthe child eventually fell asleep around 4 a.m. The next morning, the parents checkedon the child around 10 a.m. and the child was “very stiff.” When the child was broughtto the hospital, she was unresponsive and had possible seizure activity. The hospitaldiscovered that child had subdural, subarachnoid, and bilateral hemorrhages as a resultof non-accidental trauma. The father admitted to hitting the child on her head and jaw.The father has been arrested and charged with aggravated assault, endangering thewelfare of a child, simple assault, and recklessly endangering another person. He iscurrently incarcerated and is awaiting trial. DHS was involved in Dec. 2011 for a reportthat the child had burns on her feet. This report was unfounded. The victim child wasdischarged from the hospital into a medical foster home on Oct. 31, 2012. The hospitalhas set up services for the child that include early intervention services and Child Linkservices. The plan is for reunification of the child with the mother.","2012"
